Date,RW2,RW3/RW1
44015.59236,18.0913,17.1687
44015.60278,17.6156,16.6164
44015.61319,17.0874,16.0245
44015.62361,16.4854,15.3761
44015.63403,15.5049,14.6096
44015.64444,14.0025,13.0558
44015.65486,12.7314,11.6554
44015.66528,11.5855,10.4549
44015.67569,10.5856,9.40722
44015.68611,9.68781,8.49342
44015.69653,8.88375,7.68692
44015.70694,8.13531,6.95178
44015.71736,7.43281,6.26551
44015.72778,6.77354,5.63863
44015.73819,6.20391,5.10868
44015.74861,5.72709,4.66669
44015.75903,5.32609,4.30637
44015.76944,4.99201,4.01857
44015.77986,4.71041,3.78213
44015.79028,4.48394,3.59416
44015.80069,4.29955,3.44442
44015.81111,4.15789,3.32535
44015.82153,4.04679,3.2432
44015.83194,3.96227,3.17777
44015.84236,3.89989,3.13998
44015.85278,3.85376,3.11426
44015.86319,3.81854,3.09159
44015.87361,3.79666,3.08131
44015.88403,3.78572,3.07645
44015.89444,3.78446,3.06825
44015.90486,3.79117,3.0713
44015.91528,3.80263,3.08019
44015.92569,3.82095,3.09218
44015.93611,3.84,3.11169
44015.94653,3.86192,3.13407
44015.95694,3.88231,3.1552
44015.96736,3.90087,3.17253
44015.97778,3.92479,3.19402
44015.98819,3.94423,3.21137
44015.99861,3.96696,3.2338
44016.00903,3.9912,3.252
44016.01944,4.01591,3.26631
44016.02986,4.04039,3.28037
44016.04028,4.06973,3.3082
44016.05069,4.1005,3.3371
44016.06111,4.12889,3.36526
44016.07153,4.15996,3.39547
44016.08194,4.1897,3.42825
44016.09236,4.21657,3.45771
44016.10278,4.24671,3.474
44016.11319,4.27478,3.49264
44016.12361,4.30684,3.5203
44016.13403,4.34636,3.55518
44016.14444,4.39087,3.58892
44016.15486,4.44141,3.62795
44016.16528,4.50154,3.67635
44016.17569,4.56857,3.72546
44016.18611,4.64507,3.78692
44016.19653,4.72231,3.84675
44016.20694,4.80086,3.91681
44016.21736,4.87806,3.98286
44016.22778,4.95977,4.04645
44016.23819,5.04151,4.11226
44016.24861,5.12941,4.18136
44016.25903,5.21586,4.2459
44016.26944,5.3102,4.31602
44016.27986,5.42909,4.42021
44016.29028,5.63584,4.61494
44016.30069,5.94707,4.91443
44016.31111,6.4601,5.28805
44016.32153,7.18734,5.79939
44016.33194,7.78333,6.68229
44016.34236,8.64168,7.71548
44016.35278,9.76598,8.91842
44016.36319,10.8901,10.1352
44016.37361,11.9945,11.3402
44016.38403,13.0582,12.5086
44016.39444,14.0852,13.649
44016.40486,15.0982,14.7792
44016.41528,16.0142,15.8427
44016.42569,16.8317,16.7947
44016.43611,17.5033,17.5699
44016.44653,18.0586,18.1983
44016.45694,18.4943,18.7004
44016.46736,18.8424,19.0875
44016.47778,19.1055,19.3849
44016.48819,19.2993,19.5979
44016.49861,19.4373,19.7304
44016.50903,19.5182,19.7966
44016.51944,19.544,19.7858
44016.52986,19.5112,19.7008
44016.54028,19.4162,19.5528
44016.55069,19.2783,19.3409
44016.56111,19.0621,19.0602
44016.57153,18.8474,18.7953
44016.58194,18.595,18.4806
44016.59236,18.2867,18.1181
44016.60278,17.9584,17.7291
44016.61319,17.5906,17.3047
44016.62361,17.1689,16.8445
44016.63403,16.4786,16.3043
44016.64444,15.2536,15.0812
44016.65486,14.2258,13.9244
44016.66528,13.2987,12.9317
44016.67569,12.4681,12.029
44016.68611,11.712,11.193
44016.69653,11.0661,10.4602
44016.70694,10.446,9.77457
44016.71736,9.85844,9.1248
44016.72778,9.29104,8.5178
44016.73819,8.80636,7.98247
44016.74861,8.39363,7.53168
44016.75903,8.04753,7.14675
44016.76944,7.76123,6.83509
44016.77986,7.51226,6.55901
44016.79028,7.30245,6.33049
44016.80069,7.13153,6.1437
44016.81111,6.9977,5.99094
44016.82153,6.88994,5.87264
44016.83194,6.80702,5.77731
44016.84236,6.74003,5.70408
44016.85278,6.69324,5.65134
44016.86319,6.66622,5.61695
44016.87361,6.65239,5.59781
44016.88403,6.65212,5.59191
44016.89444,6.6598,5.59847
44016.90486,6.68208,5.62557
44016.91528,6.71495,5.66279
44016.92569,6.75062,5.69907
44016.93611,6.79225,5.72842
44016.94653,6.83673,5.73303
44016.95694,6.8836,5.73717
44016.96736,6.93913,5.75249
44016.97778,6.99744,5.77323
44016.98819,7.05616,5.79916
44016.99861,7.11379,5.81188
44017.00903,7.17054,5.83468
44017.01944,7.22761,5.86379
44017.02986,7.2868,5.89525
44017.04028,7.34661,5.9286
44017.05069,7.40799,5.96712
44017.06111,7.46935,6.00787
44017.07153,7.53182,6.04975
44017.08194,7.59201,6.09108
44017.09236,7.65746,6.13228
44017.10278,7.72327,6.1832
44017.11319,7.78519,6.22073
44017.12361,7.84799,6.27124
44017.13403,7.91569,6.32382
44017.14444,7.97929,6.37014
44017.15486,8.04223,6.42778
44017.16528,8.10549,6.48765
44017.17569,8.16891,6.54486
44017.18611,8.23121,6.60173
44017.19653,8.29009,6.66116
44017.20694,8.34777,6.71667
44017.21736,8.39896,6.77608
44017.22778,8.45247,6.82765
44017.23819,8.50543,6.88256
44017.24861,8.56,6.94008
44017.25903,8.61578,7.00136
44017.26944,8.66606,7.061
44017.27986,8.72936,7.14186
44017.29028,8.84296,7.2869
44017.30069,9.05052,7.53042
44017.31111,9.40003,7.84005
44017.32153,9.90795,8.2347
44017.33194,10.3504,8.86449
44017.34236,10.8975,9.61165
44017.35278,11.5938,10.4374
44017.36319,12.2792,11.0795
44017.37361,12.9522,12.1371
44017.38403,13.6157,12.9878
44017.39444,14.2703,13.8506
44017.40486,14.9262,14.7155
44017.41528,15.5784,15.571
44017.42569,16.1776,16.3749
44017.43611,16.7018,17.0664
44017.44653,17.1142,17.6488
44017.45694,17.4331,18.1214
44017.46736,17.6718,18.4934
44017.47778,17.8602,18.7875
44017.48819,17.9886,19.0088
44017.49861,18.0756,19.1713
44017.50903,18.1234,19.2675
44017.51944,18.1536,19.3372
44017.52986,18.1615,19.3705
44017.54028,18.1497,19.381
44017.55069,18.0075,19.2272
44017.56111,17.5426,18.7093
44017.57153,17.0648,18.194
44017.58194,16.8493,17.9384
44017.59236,16.6809,17.749
44017.60278,16.4705,17.5194
44017.61319,16.1681,17.1862
44017.62361,15.7186,16.6833
44017.63403,15.0989,16.0542
44017.64444,14.3167,15.2153
44017.65486,13.5708,14.3405
44017.66528,12.9659,13.6233
44017.67569,12.3316,12.8753
44017.68611,11.6774,12.0889
44017.69653,11.033,11.326
44017.70694,10.3765,10.5228
44017.71736,9.7228,9.72794
44017.72778,9.10823,8.99189
44017.73819,8.5586,8.32387
44017.74861,8.07656,7.75354
44017.75903,7.65844,7.23863
44017.76944,7.29101,6.80501
44017.77986,6.96904,6.4253
44017.79028,6.70021,6.10367
44017.80069,6.47162,5.81736
44017.81111,6.27166,5.57026
44017.82153,6.11079,5.36271
44017.83194,5.98179,5.1875
44017.84236,5.87604,5.04103
44017.85278,5.7907,4.91601
44017.86319,5.71932,4.81281
44017.87361,5.66163,4.72538
44017.88403,5.61876,4.6565
44017.89444,5.59051,4.60185
44017.90486,5.57039,4.56158
44017.91528,5.55852,4.5312
44017.92569,5.55535,4.50585
44017.93611,5.5564,4.49646
44017.94653,5.56349,4.48672
44017.95694,5.57585,4.48144
44017.96736,5.59361,4.4835
44017.97778,5.61104,4.48738
44017.98819,5.63405,4.49204
44017.99861,5.65471,4.50374
44018.00903,5.68444,4.52223
44018.01944,5.71257,4.54294
44018.02986,5.7458,4.5684
44018.04028,5.77943,4.59272
44018.05069,5.81304,4.61587
44018.06111,5.8525,4.64517
44018.07153,5.88802,4.67769
44018.08194,5.92587,4.7101
44018.09236,5.97021,4.7417
44018.10278,6.01649,4.77443
44018.11319,6.06254,4.80705
44018.12361,6.11217,4.84705
44018.13403,6.16343,4.8818
44018.14444,6.21332,4.92718
44018.15486,6.25996,4.96862
44018.16528,6.3062,5.01891
44018.17569,6.35601,5.06948
44018.18611,6.4063,5.11728
44018.19653,6.45467,5.16881
44018.20694,6.50648,5.2193
44018.21736,6.56333,5.27137
44018.22778,6.61598,5.3225
44018.23819,6.66975,5.37534
44018.24861,6.72236,5.42582
44018.25903,6.78128,5.47455
44018.26944,6.83758,5.52253
44018.27986,6.90658,5.58742
44018.29028,7.02561,5.72021
44018.30069,7.24949,5.95545
44018.31111,7.53677,6.23176
44018.32153,8.00945,6.61215
44018.33194,8.45984,7.23171
44018.34236,9.04133,7.97391
44018.35278,9.81711,8.85177
44018.36319,10.6046,9.7649
44018.37361,11.4273,10.7418
44018.38403,12.2653,11.7443
44018.39444,13.0723,12.7259
44018.40486,13.914,13.7555
44018.41528,14.6682,14.675
44018.42569,15.3891,15.5567
44018.43611,15.9928,16.3219
44018.44653,16.5021,16.9717
44018.45694,16.9273,17.5265
44018.46736,17.2922,18.0204
44018.47778,17.5745,18.4017
44018.48819,17.7836,18.6848
44018.49861,17.9134,18.8551
44018.50903,17.9785,18.9618
44018.51944,17.9736,18.9756
44018.52986,17.8994,18.8985
44018.54028,17.7727,18.7476
44018.55069,17.5783,18.5493
44018.56111,17.3267,18.274
44018.57153,17.028,17.9543
44018.58194,16.6691,17.5871
44018.59236,16.2914,17.1796
44018.60278,15.884,16.7401
44018.61319,15.4356,16.2661
44018.62361,14.9523,15.7396
44018.63403,14.295,15.1632
44018.64444,13.2418,14.1179
44018.65486,12.3635,13.1265
44018.66528,11.598,12.2723
44018.67569,10.8498,11.4336
44018.68611,10.2001,10.6976
44018.69653,9.5747,9.97362
44018.70694,8.94754,9.26279
44018.71736,8.33395,8.56124
44018.72778,7.74869,7.89777
44018.73819,7.22352,7.30219
44018.74861,6.7671,6.767
44018.75903,6.36679,6.30224
44018.76944,6.02017,5.8932
44018.77986,5.72064,5.53692
44018.79028,5.46315,5.22183
44018.80069,5.24367,4.94995
44018.81111,5.06148,4.71401
44018.82153,4.90162,4.5091
44018.83194,4.76231,4.34233
44018.84236,4.64234,4.17354
44018.85278,4.54421,4.04087
44018.86319,4.46778,3.93393
44018.87361,4.39995,3.84143
44018.88403,4.34766,3.7655
44018.89444,4.30604,3.70136
44018.90486,4.2775,3.65408
44018.91528,4.26011,3.61881
44018.92569,4.25311,3.59068
44018.93611,4.25216,3.57446
44018.94653,4.25817,3.5617
44018.95694,4.27151,3.55483
44018.96736,4.28301,3.55418
44018.97778,4.30422,3.55732
44018.98819,4.32209,3.56311
44018.99861,4.3487,3.57303
44019.00903,4.37943,3.58904
44019.01944,4.4071,3.60618
44019.02986,4.43517,3.62684
44019.04028,4.46732,3.65193
44019.05069,4.50459,3.67911
44019.06111,4.54285,3.70679
44019.07153,4.58801,3.73764
44019.08194,4.62977,3.7631
44019.09236,4.68178,3.79862
44019.10278,4.72687,3.83455
44019.11319,4.77901,3.87224
44019.12361,4.82844,3.90778
44019.13403,4.8841,3.94466
44019.14444,4.93882,3.98207
44019.15486,4.99241,4.02738
44019.16528,5.04755,4.07463
44019.17569,5.10592,4.12083
44019.18611,5.16603,4.16671
44019.19653,5.22273,4.20505
44019.20694,5.28206,4.24681
44019.21736,5.34192,4.29197
44019.22778,5.40493,4.33931
44019.23819,5.46495,4.38594
44019.24861,5.52605,4.43154
44019.25903,5.588,4.47885
44019.26944,5.65205,4.52984
44019.27986,5.73145,4.59851
44019.29028,5.85624,4.71984
44019.30069,6.05706,4.92178
44019.31111,6.38462,5.19214
44019.32153,6.88072,5.54217
44019.33194,7.34316,6.13655
44019.34236,7.96334,6.90119
44019.35278,8.76139,7.7791
44019.36319,9.60439,8.72598
44019.37361,10.4853,9.73436
44019.38403,11.3916,10.7915
44019.39444,12.3261,11.8817
44019.40486,13.2512,12.9548
44019.41528,14.1473,13.9731
44019.42569,14.9125,14.8858
44019.43611,15.5852,15.6699
44019.44653,16.1443,16.3419
44019.45694,16.602,16.8982
44019.46736,16.9665,17.3664
44019.47778,17.2558,17.742
44019.48819,17.4743,18.04
44019.49861,17.6138,18.2586
44019.50903,17.6974,18.4025
44019.51944,17.7109,18.4711
44019.52986,17.6383,18.4424
44019.54028,17.5132,18.3428
44019.55069,17.3104,18.1633
44019.56111,17.0631,17.9078
44019.57153,16.7631,17.612
44019.58194,16.4255,17.2705
44019.59236,16.011,16.8277
44019.60278,15.6095,16.4062
44019.61319,15.1806,15.9607
44019.62361,14.7175,15.4905
44019.63403,14.0993,14.9609
44019.64444,13.0896,14.0238
44019.65486,12.1971,13.0601
44019.66528,11.474,12.2873
44019.67569,10.7503,11.4895
44019.68611,10.0724,10.7444
44019.69653,9.51683,10.1273
44019.70694,8.93682,9.47959
44019.71736,8.30873,8.80046
44019.72778,7.72168,8.15232
44019.73819,7.18657,7.55341
44019.74861,6.71675,7.01787
44019.75903,6.30124,6.54451
44019.76944,5.93994,6.11961
44019.77986,5.62371,5.73695
44019.79028,5.35306,5.40441
44019.80069,5.1147,5.11203
44019.81111,4.90773,4.85605
44019.82153,4.73168,4.62689
44019.83194,4.57681,4.4241
44019.84236,4.44035,4.25094
44019.85278,4.33261,4.09484
44019.86319,4.23607,3.95927
44019.87361,4.15539,3.84381
44019.88403,4.09099,3.74229
44019.89444,4.03342,3.65271
44019.90486,3.99248,3.57768
44019.91528,3.96223,3.51518
44019.92569,3.94023,3.4603
44019.93611,3.92143,3.41541
44019.94653,3.90861,3.37951
44019.95694,3.90353,3.34748
44019.96736,3.90157,3.3215
44019.97778,3.90186,3.2959
44019.98819,3.91176,3.28029
44019.99861,3.92226,3.26626
44020.00903,3.93463,3.25949
44020.01944,3.94925,3.25819
44020.02986,3.97327,3.26781
44020.04028,4.00051,3.2817
44020.05069,4.03115,3.29648
44020.06111,4.06546,3.31635
44020.07153,4.09748,3.33804
44020.08194,4.13349,3.35998
44020.09236,4.17051,3.38161
44020.10278,4.20522,3.40399
44020.11319,4.24228,3.42749
44020.12361,4.27762,3.45237
44020.13403,4.31535,3.47608
44020.14444,4.35646,3.50685
44020.15486,4.39856,3.5361
44020.16528,4.4415,3.56654
44020.17569,4.48883,3.59756
44020.18611,4.53628,3.63396
44020.19653,4.58361,3.67445
44020.20694,4.63555,3.7125
44020.21736,4.68985,3.75317
44020.22778,4.73778,3.79612
44020.23819,4.79627,3.84213
44020.24861,4.8501,3.88885
44020.25903,4.90429,3.93419
44020.26944,4.95851,3.97773
44020.27986,5.03313,4.03407
44020.29028,5.1446,4.13827
44020.30069,5.33718,4.31724
44020.31111,5.64455,4.55904
44020.32153,6.10274,4.88038
44020.33194,6.56093,5.43348
44020.34236,7.17548,6.15571
44020.35278,7.96923,7.00223
44020.36319,8.81742,7.92148
44020.37361,9.71407,8.92319
44020.38403,10.6525,9.97895
44020.39444,11.6112,11.0693
44020.40486,12.5596,12.158
44020.41528,13.4559,13.1845
44020.42569,14.2617,14.1095
44020.43611,14.9498,14.9051
44020.44653,15.5299,15.5812
44020.45694,16.008,16.1514
44020.46736,16.4484,16.7032
44020.47778,16.6804,17.0554
44020.48819,16.8964,17.3693
44020.49861,17.0609,17.6251
44020.50903,17.1469,17.7864
44020.51944,17.1439,17.8663
44020.52986,17.1635,17.9259
44020.54028,17.1006,17.9202
44020.55069,16.8425,17.7233
44020.56111,16.7428,17.6752
44020.57153,16.2922,17.2613
44020.58194,16.0494,17.022
44020.59236,15.7318,16.727
44020.60278,15.3764,16.3945
44020.61319,14.941,15.945
44020.62361,14.3458,15.3418
44020.63403,13.7307,14.7856
44020.64444,12.7949,13.9217
44020.65486,11.9743,13.0577
44020.66528,11.2061,12.2379
44020.67569,10.4791,11.4521
44020.68611,9.81518,10.7216
44020.69653,9.20391,10.0409
44020.70694,8.6149,9.38523
44020.71736,8.03274,8.74542
44020.72778,7.47984,8.1262
44020.73819,6.97098,7.5584
44020.74861,6.52647,7.04682
44020.75903,6.14001,6.59545
44020.76944,5.79947,6.19126
44020.77986,5.50865,5.82994
44020.79028,5.2535,5.5155
44020.80069,5.03378,5.23184
44020.81111,4.84488,4.98499
44020.82153,4.66803,4.75834
44020.83194,4.5253,4.55712
44020.84236,4.40613,4.38244
44020.85278,4.31444,4.23045
44020.86319,4.21242,4.0939
44020.87361,4.13712,3.97547
44020.88403,4.07874,3.87508
44020.89444,4.0295,3.78379
44020.90486,4.00674,3.7227
44020.91528,4.04027,3.70647
44020.92569,4.1275,3.7538
44020.93611,4.2113,3.80085
44020.94653,4.2105,3.76029
44020.95694,4.22377,3.74012
44020.96736,4.23376,3.72444
44020.97778,4.25568,3.72035
44020.98819,4.28151,3.70799
44020.99861,4.28229,3.69232
44021.00903,4.28838,3.68142
44021.01944,4.29628,3.66992
44021.02986,4.32138,3.66862
44021.04028,4.34093,3.66763
44021.05069,4.35933,3.66313
44021.06111,4.37594,3.6682
44021.07153,4.38836,3.66655
44021.08194,4.40084,3.67002
44021.09236,4.42116,3.67468
44021.10278,4.43714,3.68496
44021.11319,4.45027,3.68926
44021.12361,4.46254,3.6946
44021.13403,4.47709,3.68762
44021.14444,4.49013,3.69703
44021.15486,4.53958,3.74768
44021.16528,4.5516,3.7553
44021.17569,4.56703,3.75826
44021.18611,4.58259,3.76491
44021.19653,4.59857,3.77401
