RW2,,,RW1,RW3/RW1,,,RW2 Overflow,,,RW3 Overflow,,,Days since start up
,Total ,Soluble,,Total ,Soluble,,Total ,Soluble,,Total ,Soluble,,0
44156,399,119,,564,139,,,,,,,,145
44157,372,91,,455,108,,,,,,,,146
44158,340,95,,490,116,,,,,,,,147
44159,313,111,,479,108,,,,,,,,148
44160,320,111,,527,131,Dosing turned back on,,,,,,,149
44161,322,115,,526,93,,,,,,,,150
44162,380,80,,798,436,,,,,,,,151
44163,490,69,,326,106,,,,,,,,152
44164,344,127,,622,143,,,,,,,,153
44165,,,,502,252,,,,,,,,154
44166,262,109,,503,80,,,,,,,,155
44167,,,,374,64,,,,,,,,156
44168,262,125,,270,72,,,,,,,,157
44169,,,,326,77,,,,,,,,158
44170,266,113,,347,65,,,,,,,,159
44171,246,101,,305,100,,,,,,,,160
44172,,,,404,150,,,,,,,,161
44173,266,120,,349,95,,,,,,,,162
44174,274,86,,329,129,,,,,,,,163
44175,285,104,,309,77,,,,,,,,164
44176,,,,587,446,,,,,,,,167
44179,229,69,,216,62,,,,,,,,169
44181,226,63,,212,61,,,,,,,,171
44183,202,62,,186,48,,,,,,,,174
44186,188,37,,195,37,,,,,,,,176
44188,336,90,,327,111,"Power outage overnight, all paddles wheels were off and restarted on the morning of the 23rd",,,,,,,180
44192,317,102,,303,92,,,,,,,,188
44200,422,79,,293,64,,,,,,,,190
44202,419,66,,193,62,HRAP dosing rate increased and UASB HRT reduced 24h,,,,,,,192
44204,401,75,,239,52,,,,,,,,195
44207,421,55,,235,25,,,,,,,,197
44209,430,65,,263,65,,,,,,,,199
44211,428,79,,278,65,,,,,,,,202
44214,505,62,,313,50,,,,,,,,204
44216,355,50,,270,36,,,,,,,,
44218,388,52,,290,38,,,,,,,,
44221,411,66,,239,47,,,,,,,,
44223,392,64,,192,40,,,,,,,,
44225,390,67,,252,51,,,,,,,,
44228,360,86,,368,70,,,,,,,,
44230,272,65,,282,48,,,,,,,,
44232,267,86,,313,53,,,,,,,,
44235,288,77,,373,51,,,,,,,,
44237,273,78,,334,68,,,,,,,,
44239,317,99,,324,72,,,,,,,,
44242,385,71,,313,52,,,,,,,,
44244,354,73,,298,50,,,,,,,,
44246,293,65,,269,49,Heavy rainfall overnight ,,,,,,,
44249,433,76,,322,65,,,,,,,,
44251,398,60,,282,51,,,,,,,,
44253,395,50,,315,52,,,,,,,,
44256,494,38,,420,56,,,,,,,,
44258,486,50,,400,46,,,,,,,,
44260,445,23,,373,31,,,,,,,,
44263,510,40,,345,49,,,,,,,,
44265,498,39,,339,37,,,,,,,,
44267,478,66,,358,46,,,,,,,,
44270,466,66,,480,44,Rainy day,,,,,,,
44272,423,49,,356,53,Rainy day,,,,,,,
44274,358,38,,412,43,Rainy day,,,,,,,
44277,205,22,,199,32,Rainy day,,,,,,,
44279,138,21,,130,27,,,,,,,,
44281,175,31,,172,26,,,,,,,,
44284,206,26,,268,36,,,,,,,,
44286,268,43,,324,38,,,,,,,,
44288,331,33,,367,33,,,,,,,,
44291,276,25,,286,23,,,,,,,,
44293,231,15,,292,18,,,,,,,,
44295,242,24,,313,24,,,,,,,,
44298,242,14,,323,13,,,,,,,,
44300,281,23,,305,55,,,,,,,,
44302,297,21,,369,58,,,,,,,,
44305,258,26,,264,20,,,,,,,,
44307,251,25,,291,27,,,,,,,,
44309,279,32,,345,35,,,,,,,,
44313,351,20,,419,25,,,,,,,,
44314,364,31,,406,37,,,,,,,,
44316,299,39,,354,38,,,,,,,,
44321,146,32,,152,46,,,,,,,,
44323,146,23,,168,51,,,,,,,,
44326,191,44,,205,60,,,,,,,,
44328,169,25,,161,31,,,,,,,,
44330,162,38,,193,54,,,,,,,,
44333,234,58,,237,65,,,,,,,,
44335,194,32,,212,26,,,,,,,,
44337,246,69,,235,41,,,,,,,,
