Date,RW2,RW3/RW1
44015.34236,12.6668,12.8026
44015.35278,12.8442,12.9935
44015.36319,13.1014,13.2655
44015.37361,13.4289,13.6052
44015.38403,13.8268,14.0126
44015.39444,14.2856,14.4891
44015.40486,14.7933,15.0133
44015.41528,15.3502,15.5867
44015.42569,15.9552,16.1987
44015.43611,16.5692,16.8282
44015.44653,17.1639,17.4303
44015.45694,17.7504,18.0188
44015.46736,18.3082,18.587
44015.47778,18.8524,19.1307
44015.48819,19.3597,19.6388
44015.49861,19.8423,20.1181
44015.50903,20.2627,20.5364
44015.51944,20.6439,20.9017
44015.52986,20.9427,21.1872
44015.54028,21.2087,21.4286
44015.55069,21.4207,21.62
44015.56111,21.5828,21.7627
44015.57153,21.7185,21.8818
44015.58194,21.8333,21.9799
44015.59236,21.902,22.0333
44015.60278,21.9342,22.0529
44015.61319,21.9328,22.0459
44015.62361,21.895,22.001
44015.63403,21.7815,21.9182
44015.64444,21.6052,21.7459
44015.65486,21.4319,21.5669
44015.66528,21.2408,21.3741
44015.67569,21.0513,21.1788
44015.68611,20.8579,20.9783
44015.69653,20.6564,20.7725
44015.70694,20.4539,20.5614
44015.71736,20.264,20.3645
44015.72778,20.0731,20.1693
44015.73819,19.892,19.9812
44015.74861,19.725,19.814
44015.75903,19.5636,19.6457
44015.76944,19.4135,19.494
44015.77986,19.2662,19.3467
44015.79028,19.1328,19.2132
44015.80069,18.9926,19.0716
44015.81111,18.8552,18.9342
44015.82153,18.7495,18.8271
44015.83194,18.6535,18.731
44015.84236,18.5576,18.635
44015.85278,18.4836,18.5623
44015.86319,18.4068,18.4883
44015.87361,18.3356,18.4157
44015.88403,18.2466,18.328
44015.89444,18.1645,18.2459
44015.90486,18.0948,18.1775
44015.91528,18.0154,18.0995
44015.92569,17.9375,18.0215
44015.93611,17.8488,17.9355
44015.94653,17.7791,17.8671
44015.95694,17.7135,17.8043
44015.96736,17.6439,17.7346
44015.97778,17.5716,17.665
44015.98819,17.5074,17.6022
