Date,RW2,RW3/RW1
44015.58194,8.75126,8.6379
44015.59236,8.75739,8.63978
44015.60278,8.76918,8.63858
44015.61319,8.77245,8.63862
44015.62361,8.77486,8.63017
44015.63403,8.76352,8.60998
44015.64444,8.73735,8.54892
44015.65486,8.71217,8.50197
44015.66528,8.68162,8.44741
44015.67569,8.65648,8.38734
44015.68611,8.62367,8.32067
44015.69653,8.59525,8.24957
44015.70694,8.55036,8.17838
44015.71736,8.51521,8.09175
44015.72778,8.47234,7.99952
44015.73819,8.42828,7.90825
44015.74861,8.37311,7.82008
44015.75903,8.32884,7.7351
44015.76944,8.28008,7.66971
44015.77986,8.22466,7.60315
44015.79028,8.17682,7.55186
44015.80069,8.12127,7.50713
44015.81111,8.06455,7.46893
44015.82153,8.01538,7.43724
44015.83194,7.96284,7.40881
44015.84236,7.91797,7.38586
44015.85278,7.8697,7.36616
44015.86319,7.82693,7.35086
44015.87361,7.78302,7.33775
44015.88403,7.75237,7.32354
44015.89444,7.72058,7.31262
44015.90486,7.69316,7.30389
44015.91528,7.66906,7.29626
44015.92569,7.64825,7.28863
44015.93611,7.62857,7.28431
44015.94653,7.61435,7.27996
44015.95694,7.59681,7.27451
44015.96736,7.58479,7.27127
44015.97778,7.56946,7.26803
44015.98819,7.56073,7.26588
44015.99861,7.55204,7.26374
44016.00903,7.54336,7.26051
44016.01944,7.53471,7.2584
44016.02986,7.53049,7.25519
44016.04028,7.52626,7.25418
44016.05069,7.51758,7.25206
44016.06111,7.51332,7.25104
44016.07153,7.51015,7.25222
44016.08194,7.50474,7.25118
44016.09236,7.50376,7.25014
44016.10278,7.5017,7.25243
44016.11319,7.50081,7.25033
44016.12361,7.49994,7.25267
44016.13403,7.49799,7.25281
44016.14444,7.4983,7.25297
44016.15486,7.49421,7.25426
44016.16528,7.49795,7.25559
44016.17569,7.50053,7.25799
44016.18611,7.50418,7.26038
44016.19653,7.50671,7.26387
44016.20694,7.51034,7.26736
44016.21736,7.51509,7.27308
44016.22778,7.51539,7.2777
44016.23819,7.5224,7.28233
44016.24861,7.52612,7.28587
44016.25903,7.53097,7.28719
44016.26944,7.53475,7.29077
44016.27986,7.54079,7.29773
44016.29028,7.55135,7.30583
44016.30069,7.56863,7.31728
44016.31111,7.59604,7.3366
44016.32153,7.63134,7.35932
44016.33194,7.66438,7.39881
44016.34236,7.71643,7.45512
44016.35278,7.79301,7.52478
44016.36319,7.87048,7.61111
44016.37361,7.95439,7.71066
44016.38403,8.03573,7.80879
44016.39444,8.11898,7.9167
44016.40486,8.19847,8.02641
44016.41528,8.27201,8.12901
44016.42569,8.33404,8.21559
44016.43611,8.38584,8.28746
44016.44653,8.42974,8.35029
44016.45694,8.4669,8.40522
44016.46736,8.50395,8.45222
44016.47778,8.52864,8.49688
44016.48819,8.56216,8.51709
44016.49861,8.58591,8.54747
44016.50903,8.61203,8.5703
44016.51944,8.63411,8.59129
44016.52986,8.65428,8.61924
44016.54028,8.67364,8.63093
44016.55069,8.69439,8.65066
44016.56111,8.71022,8.66656
44016.57153,8.7238,8.68017
44016.58194,8.73626,8.69266
44016.59236,8.74574,8.69664
44016.60278,8.75295,8.69945
44016.61319,8.76353,8.70116
44016.62361,8.76652,8.6986
44016.63403,8.75869,8.68941
44016.64444,8.73477,8.6455
44016.65486,8.71183,8.59818
44016.66528,8.68874,8.55174
44016.67569,8.66333,8.49966
44016.68611,8.63693,8.44764
44016.69653,8.61046,8.39104
44016.70694,8.57821,8.33311
44016.71736,8.54808,8.265
44016.72778,8.51134,8.19356
44016.73819,8.47576,8.12098
44016.74861,8.44005,8.04824
44016.75903,8.4032,7.9687
44016.76944,8.36378,7.89777
44016.77986,8.32538,7.82561
44016.79028,8.28588,7.76459
44016.80069,8.24411,7.71023
44016.81111,8.2034,7.66028
44016.82153,8.16371,7.61921
44016.83194,8.12165,7.58478
44016.84236,8.08181,7.55482
44016.85278,8.04418,7.52707
44016.86319,8.00867,7.50486
44016.87361,7.97431,7.48491
44016.88403,7.94439,7.46605
44016.89444,7.91228,7.45059
44016.90486,7.88684,7.43846
44016.91528,7.86247,7.42743
44016.92569,7.84145,7.41864
44016.93611,7.82156,7.40646
44016.94653,7.80391,7.39878
44016.95694,7.78621,7.39107
44016.96736,7.77303,7.38449
44016.97778,7.76094,7.38015
44016.98819,7.74998,7.37241
44016.99861,7.74009,7.36917
44017.00903,7.73021,7.3682
44017.01944,7.72144,7.36495
44017.02986,7.71493,7.36283
44017.04028,7.71753,7.36299
44017.05069,7.70417,7.36086
44017.06111,7.69877,7.35988
44017.07153,7.69564,7.36002
44017.08194,7.69933,7.36015
44017.09236,7.69163,7.36028
44017.10278,7.69074,7.36268
44017.11319,7.68987,7.36168
44017.12361,7.69357,7.36296
44017.13403,7.68927,7.36082
44017.14444,7.68954,7.3621
44017.15486,7.68982,7.36338
44017.16528,7.69466,7.36693
44017.17569,7.69264,7.36935
44017.18611,7.6952,7.37177
44017.19653,7.69662,7.3742
44017.20694,7.70032,7.37662
44017.21736,7.69943,7.38132
44017.22778,7.70083,7.3826
44017.23819,7.70223,7.38616
44017.24861,7.70706,7.38858
44017.25903,7.70615,7.39442
44017.26944,7.70755,7.39799
44017.27986,7.71124,7.40384
44017.29028,7.72064,7.41083
44017.30069,7.73116,7.42239
44017.31111,7.75428,7.43852
44017.32153,7.7865,7.46266
44017.33194,7.81869,7.49813
44017.34236,7.85757,7.54609
44017.35278,7.91333,7.60299
44017.36319,7.96991,7.66881
44017.37361,8.03187,7.7389
44017.38403,8.08892,7.8201
44017.39444,8.14787,7.90317
44017.40486,8.20647,7.99834
44017.41528,8.26468,8.08963
44017.42569,8.31578,8.17713
44017.43611,8.36091,8.2529
44017.44653,8.39915,8.32392
44017.45694,8.43161,8.3778
44017.46736,8.45829,8.41462
44017.47778,8.48266,8.45018
44017.48819,8.50259,8.47794
44017.49861,8.52261,8.50356
44017.50903,8.54393,8.52932
44017.51944,8.56085,8.54845
44017.52986,8.57558,8.56771
44017.54028,8.59285,8.58494
44017.55069,8.6061,8.59488
44017.56111,8.60775,8.58763
44017.57153,8.60845,8.59061
44017.58194,8.61548,8.5888
44017.59236,8.62574,8.59683
44017.60278,8.62955,8.59951
44017.61319,8.63363,8.60135
44017.62361,8.62899,8.59115
44017.63403,8.61906,8.57229
44017.64444,8.60047,8.54149
44017.65486,8.57989,8.50427
44017.66528,8.56466,8.46793
44017.67569,8.5406,8.42278
44017.68611,8.51435,8.37544
44017.69653,8.48257,8.31588
44017.70694,8.44972,8.25191
44017.71736,8.40795,8.17458
44017.72778,8.36389,8.09272
44017.73819,8.31869,8.01192
44017.74861,8.27348,7.93442
44017.75903,8.22824,7.85575
44017.76944,8.18073,7.78035
44017.77986,8.13428,7.71601
44017.79028,8.08662,7.6583
44017.80069,8.03892,7.61168
44017.81111,7.9923,7.56615
44017.82153,7.95133,7.53068
44017.83194,7.91035,7.49855
44017.84236,7.87265,7.47196
44017.85278,7.83828,7.44757
44017.86319,7.80611,7.42651
44017.87361,7.77615,7.40431
44017.88403,7.74953,7.38881
44017.89444,7.72399,7.37552
44017.90486,7.7029,7.36222
44017.91528,7.68296,7.35116
44017.92569,7.66522,7.34007
44017.93611,7.64968,7.33345
44017.94653,7.63527,7.32571
44017.95694,7.62308,7.31795
44017.96736,7.612,7.31242
